127.0.0.1 - - [19/Sep/2019:14:45:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Sep/2019:14:45:44 +0530] "GET /SOAPwithAnnotations/WEB-INF/classes/com/hcl/soap/Hello.java HTTP/1.1" 404 992
127.0.0.1 - - [19/Sep/2019:15:23:40 +0530] "GET /Hello?wsdl HTTP/1.1" 404 1004
127.0.0.1 - - [19/Sep/2019:15:23:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [19/Sep/2019:15:29:50 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:50 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:51 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:51 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:51 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:51 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:51 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:52 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:52 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:52 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:52 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:53 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:53 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:53 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:53 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:53 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:54 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:54 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:54 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:29:54 +0530] "POST /SOAPwithAnnotations/services/AdminService HTTP/1.0" 404 1076
127.0.0.1 - - [19/Sep/2019:15:30:22 +0530] "GET /Hello HTTP/1.1" 404 1004
127.0.0.1 - - [19/Sep/2019:15:30:30 +0530] "GET /Hello?wsdl HTTP/1.1" 404 1004
